INDEPENDENT NATIONAL ELECTORAL COMMISSION											
IBADAN NORTH LOCAL GOVERNMENT, IBADAN											
POSTING OF POLL OFFICIALS											
RA (WARD):  (01)											
											
											
S/N	POLLING UNITS	CODE	NO OF REGD VOTERS								
											
1	AGBO COMPOUND	001	766								
2	AYOOLA COMPOUND I	002	703								
3	AYOOLA COMPOUND II	003	446								
4	GALAXY T.V. I	004	770								
5	GALAXY T.V. II	005	441								
6	I.M.G. COURT	006	862								
7	ISLAMIC MISSION SCHOOL, ODOYE I	007	966								
8	ISLAMIC MISSION SCHOOL, ODOYE II	008	874								
9	LAWORE COMPOUND	009	599								
10	OPPOSITE NATIONAL PETROL ISALE‐ALFA	010	674								
11	ST. MARY SCHOOL	011	813								
12	UNIPETROL, ISALE ALFA I	012	663								
13	UNIPETROL, ISALE ALFA II	013	733								
14	BESIDE OMO OSHO COOL SPORT, AGBO COMPOUND	014	138								
15	I.M.G GATE SIDE	015	168								
16	OPPOSITE PRIMARY 6 BLOCK ISLAMIC MISSION SCHOOL	016	113								
17	BESIDE SCHOOL MOSQUE ODOYE ISLAMIC MISSION SCHOOL	017	140								
18	ASSEMBLY AREA, ST. MARY SCHOOL	018	100								
			9969								
											
											
											
											
											
											
											
											
INDEPENDENT NATIONAL ELECTORAL COMMISSION											
IBADAN NORTH LOCAL GOVERNMENT, IBADAN											
POSTING OF POLL OFFICIALS											
RA (WARD):  (02)											
											
S/N	POLLING UNITS	CODE	NO OF REGD VOTERS								TEL. NO
											
	AFIKU COMPOUND	001	633								
	APOSTOLIC PRIMARY SCHOOL	002	629								
	AYEGUN MOSQUE	003	593								
	BOLA STREET	004	872								
	BOLANTA SAPATI I	005	239								
	BOLANTA SAPATI II	006	421								
	EBENEZER PRIMARY SCHOOL	007	357								
	I.M.G. SCHOOL, NALENDE	008	317								
	INALENDE MARKET	009	682								
	IRE AKARI	010	775								
	JODAT	011	633								
	INALENDE MOSQUE	012	658								
	NAWAR‐DEEN SCHOOL	013	459								
	ODE OLO	014	695								
	OJO‐ONIRO COMPOUND	015	645								
	OKE‐OLORO	016	233								
	OPOYEOSA/ONIYANRIN OPEN SPACE (OPOYEOSA/ONIYANRIN JUNCTION)	017	657								
	OPPOSITE NALENDE MOSQUE	018	542								
	OPPOSITE NITEL ONIYANRIN	019	744								
	ST. JOHN PRIMARY SCHOOL	020	554								
	ST. PETER SCHOOL	021	516								
	ST. STEPHEN SCHOOL I	022	801								
	ST. STEPHEN SCHOOL II	023	703								
	ST. STEPHEN SCHOOL III	024	482								
	IN FRONT OF BOROKINI HOUSE	025	623								
	ELELEDE COMPOUND	026	605								
	OPEN SPACE CLOSE TO BOLA MOSQUE	027	123								
	BESIDE ST. STEPHEN CHURCH	028	269								
			15460								
											
											
											
											
											
											
											
											
INDEPENDENT NATIONAL ELECTORAL COMMISSION											
IBADAN NORTH LOCAL GOVERNMENT, IBADAN											
POSTING OF POLL OFFICIALS											
RA (WARD):  (03)											
											
S/N	POLLING UNITS	CODE	NO OF REGD VOTERS								TEL. NO
											
1	OPPOSITE FORMER TRIBUNE	001	631								
2	AGIP PETROL STATION	002	666								
3	SALEM BAPTIST CHURCH	003	780								
4	YEMETU POLICE STATION	004	863								
5	SALVATION ARMY SCHOOL, YEMETU	005	964								
6	BAPTIST SCHOOL ORITAMEFA	006	812								
7	MEDICO AREA, AGBADA GBUDU	007	612								
8	I.M.G. N4, YEMETU	008	752								
9	YEMETU OJE I	009	876								
10	YEMETU OJE II	010	918								
11	ADABALE	011	552								
12	KANBI HOUSE	012	940								
13	LICENSING OFFICE, YEMETU	013	741								
14	ALAWADA YEMETU	014	1001								
15	ST. MICHAEL SCHOOL, YEMETU	015	630								
16	ALADORIN JUNCTION, YEMETU I	016	1097								
17	ALADORIN JUNCTION, YEMETU II	017	670								
18	BESIDE AGALA FOREST	018	994								
19	OKE AREMO ERUKU I	019	837								
20	OKE AREMO ERUKU II	020	351								
21	BIRO OKE ARE I	021	512								
22	BIRO OKE ARE II	022	495								
23	AKABIAKO	023	892								
24	OLUWO COMPOUND	024	799								
25	ST. PAUL SCHOOL, OKE ARE I	025	688								
26	ST. PAUL SCHOOL, OKE ARE II	026	722								
27	PETROL STATION OJE	027	941								
28	OPPOSITE ZION CHEMIST	028	948								
29	ADEOYO MATERNITY	029	1252								08134987215
30	OLUBADAN AMINU	030	754								
31	MEDICO JUNCTION	031	495								
32	ISALE ALFA ADEOYO	032	832								
33	TEMIDIRE FISH DEPOT	033	793								
